fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_and_remaining_value,net_irr,investment_multiple
"Bear Coast (Ventures) Fund, LP",2023,1950000000,1951377082,0,2556189248,43.2%,1.3x
"Bear Coast Partnerships, L.P.",2025,150000000,28331325,0,31383193,N/M,N/M
"Bear Technology Fund, L.P.",2021,100000000,95495070,0,91262844,-1.3%,1.0x
"Berkshire Fund X, L.P.",2021,305107189,434232627,187697584,514929455,9.5%,1.2x
"Berkshire Fund XI, L.P.",2025,300000000,27678209,0,27288652,N/M,N/M
Bessemer Venture Partners XII Institutional L.P.,2024,115000000,51711807,0,62317326,N/M,N/M
Biogeneration Capital Fund V Cooperatief U.A.,2023,22864637,6306732,0,7698584,13.9%,1.2x
"Birch Hill Equity Partners (US) III, LP",2005,126411444,142696482,271382079,271382079,12.1%,1.9x
"Birch Hill Equity Partners (US) IV, LP",2011,136738592,132058486,354029530,358870698,15.7%,2.7x
BjorkTree AB,2024,201157163,175040096,0,192869290,N/M,N/M
Blackstone Capital Partners IX L.P.,2025,200000000,13475471,0,17054192,N/M,N/M
Blackstone Capital Partners V L.P.,2006,38400000,794822847,1222737110,1222737110,7.8%,1.5x
Blackstone Capital Partners VI L.P.,2011,187500000,544134719,939397223,972905678,12.3%,N/M
"Blackstone Capital Partners VII, L.P.",2016,375000000,540079817,673607257,964319355,15.1%,1.8x
"Blackstone Capital Partners VIII, L.P.",2021,262500000,451085178,301373094,577051394,13.8%,1.3x
Blackstone Communications Partners I L.P.,2000,100000000,111242017,136100546,136100546,6.5%,1.2x
"Blackstone Core Equity Partners II, L.P.",2021,1000000000,452202883,83805427,716485451,16.3%,1.6x
Blackstone Tactical Opportunities Fund - C L.P.,2012,800000000,994544931,1330108332,1341419321,9.3%,1.3x
Blackstone Tactical Opportunities Fund II - C L.P.,2015,500000000,498702643,660384125,736337325,12.2%,1.5x
Blackstone Tactical Opportunities Fund III-C (Surge) L.P.,2019,500000000,511697778,369105510,841389238,16.1%,1.6x
Blackstone Tactical Opportunities Fund III-C L.P.,2018,175000000,362388008,356533978,480813725,11.4%,1.3x
"Blackwell Capital Partners II, L.P.",2025,835000000,88800000,0,83791107,N/M,N/M
"Blackwell Capital Partners, LP",2023,1753534623,1432396051,13475004,1769451338,24.3%,1.2x
"BOND III, LP",2022,75000000,55687500,0,75774172,26.9%,1.4x
Bridgepoint Europe III 'C' L.P.,2015,28147897,16760648,18955256,19997980,4.2%,1.2x
Bridgepoint Europe III 'D' LP,2005,194510102,191932333,228563948,234770193,2.4%,1.2x
Bridgepoint Europe IV 'B' L.P.,2015,89899121,67960669,85943129,94172563,11.7%,1.4x
Bridgepoint Europe IV 'D' LP,2008,389540300,391605384,572782445,604052636,9.2%,1.5x
Bridgepoint Europe VII D LP,2024,101165694,76046081,0,92763833,N/M,N/M
"BRV Lotus Fund III, L.P.",2022,100000000,109274445,19673015,127959099,5.3%,1.2x
"Butterfly II, LP",2022,125000000,114139911,47434413,156336827,17.4%,1.4x
BVP Forge Institutional L.P.,2023,35000000,31574628,0,38600865,15.5%,1.2x
CA Co-Investment Limited Partnership,2022,1950000000,1065290641,1469515,1556422390,21.6%,1.5x
"CA1 SPV, L.P.",2023,1200000000,964448367,76150409,1257383042,19.8%,1.3x
"Calah Opportunities, L.P.",2025,700000000,331870324,0,331720739,N/M,N/M
"California Asia Investors, L.P.",2008,150000000,150054535,627891856,632987072,26.5%,4.2x
"California Community Venture Fund, LLC",2003,100000000,100067655,88478382,90919889,-1.6%,0.9x
"California Emerging Ventures IV, LLC",2006,463196766,489274839,873695003,909109900,11.7%,1.9x
"California Partners, L.P.",2020,850000000,602164364,32541932,898682099,14.9%,1.5x
"CalPERS Clean Energy & Technology Fund, LLC",2007,465000000,468423814,132249749,137854835,-18.4%,0.3x
"CalPERS Corporate Partners, LLC",2001,500000000,533507990,831997162,831997403,9.3%,1.6x
"CalPERS Wellspring V, L.P.",2011,24975000,27381262,49933785,52935856,21.1%,1.9x
Canaan Gold Coast L.P.,2023,235000000,134975000,113244644,244548531,66.8%,1.8x
Canaan XIII Healthcare Fund L.P.,2024,37083465,5377102,0,4191248,N/M,N/M
Canaan XIII L.P.,2024,205000000,55760000,200000,51541603,N/M,N/M
Cap Co-Invest LP,2025,100000000,12970000,0,17343218,N/M,N/M
"Capital Link Fund I, LLC",2007,502300000,600793839,868626449,904562278,7.6%,1.5x
"Capital Link Fund II, LLC",2008,435600000,473987944,788009354,795785437,11.8%,1.7x
CapVest Equity Partners V SCSp,2023,345650893,74749074,0,123115246,35.4%,1.6x
"Carlyle Asia Growth Partners III, L.P.",2005,75000000,84766869,78177512,78177512,-1.4%,0.9x
"Carlyle Asia Partners III, L.P.",2008,150000000,371700862,584513151,584513151,12.0%,1.6x
"Carlyle Asia Partners V, L.P.",2018,125000000,222315337,189237592,299665824,15.2%,1.3x
"Carlyle Europe Partners II, L.P.",2003,42165844,93171554,149071227,149077786,19.7%,1.6x
