fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_and_remaining_value,net_irr,investment_multiple
"Middlefield Road Private Opportunities Fund, L.P.",2021,800000000,231378144,14355102,305315245,10.4%,1.3x
"Moreton Bay SPV, LP",2023,1350000000,1160136987,26349653,1383094092,7.8%,1.2x
"Muir Woods Partners, L.P.",2023,300000000,238064565,6231558,371448745,40.1%,N/M
"Namu Co-invest, L.P.",2025,250000000,300000,0,300000,N/M,N/M
"New Mountain CAS Continuation Fund, L.P.",2021,90723142,91001432,24840552,59883549,-15.4%,0.7x
"New Mountain Partners III, L.P.",2007,400000000,470815270,1054284551,1069892859,14.6%,2.3x
"New Mountain Partners VI, L.P.",2021,280700324,584657757,408762939,787694417,12.1%,1.3x
"New Mountain Partners VII, L.P.",2024,250000000,87626882,69522,106124260,N/M,N/M
"NM Pacific, L.P.",2021,477000000,337376106,3996176,390849888,5.3%,1.2x
"Noosa SPV, LP",2025,50000000,9000360,0,8221363,N/M,N/M
Nordic Bear SCSp,2021,1800000000,1632018411,152981296,2260309002,12.9%,1.4x
"Oak HC/FT Partners V, L.P.",2022,200000000,153144666,28453116,177815191,14.0%,1.2x
"Oaktree Latigo Investment Fund, L.P.",2020,1000000000,480000000,366900000,684886791,10.4%,1.4x
"Oaktree Opportunities Fund VIIIb, L.P.",2011,200000000,200000000,336733866,336844193,8.2%,1.7x
"OHA Black Bear Fund, L.P.",2020,1000000000,260000000,192821782,410325859,11.7%,1.6x
"One Rock Capital Partners IV, LP",2025,125000000,34222418,4754426,37515078,N/M,N/M
"Onex Partners IV, L.P.",2014,260622914,329577280,362935888,442440161,6.1%,1.3x
Onex Partners V-B LP,2018,455585109,491017705,210942181,752979791,10.4%,1.5x
"Orchard Park, L.P.",2023,535350000,447398083,17061433,543856852,9.2%,1.2x
"Otro Capital Fund I-A, LP",2025,100000000,17725760,266885,18829266,N/M,N/M
PAG Asia I LP,2012,100000000,122564884,214124518,221731814,17.2%,1.8x
PAG Asia III LP,2019,380000000,387406788,141372329,526664825,8.5%,1.4x
"Palladium Equity Partners V, L.P.",2018,75000000,79515660,52660844,127819650,12.7%,1.6x
Pantheon Global Secondary Fund VII Feeder (US) LP,2023,200000000,111077530,5000000,148516895,21.9%,1.3x
"Parker Capital Partners, L.P.",2025,300000000,132118751,0,127013404,N/M,N/M
"Patient Square Equity Partners, LP",2023,300000000,289576303,1827337,390337253,16.6%,1.3x
"Patria Brazilian Private Equity Fund V, L.P.",2015,150000000,155136240,47749770,229785960,7.2%,1.5x
Permira Europe III,2004,126989866,126989866,219524851,219589844,26.6%,1.7x
Permira Growth Opportunities I L.P. 1,2019,200000000,208066438,52662033,280620933,8.0%,1.3x
Permira Growth Opportunities II SCSP,2022,155000000,104084392,6433550,114446315,4.2%,1.1x
Permira IV L.P.2,2006,281612475,354598629,512823310,560398597,8.1%,1.6x
"Permira V, L.P.",2014,268621554,277241201,713561438,784747618,20.7%,2.8x
Permira VI L.P. 1,2017,498849694,490282564,572916949,971046977,14.4%,2.0x
Permira VII L.P.1,2020,409818957,614842366,316542347,834434513,7.7%,1.4x
Permira VIII-2 SCSp,2023,726180407,475230363,10226737,602040342,13.3%,1.3x
"Phoenix Bear Partners II, L.P.",2025,1000000000,147504400,0,259154957,N/M,N/M
"Phoenix Bear Partners, L.P.",2023,1975000000,1606248660,61663238,2202739712,19.7%,1.4x
"Pioneer Pier Investments, L.P.",2024,500000000,110251979,1043992,135063960,N/M,N/M
Pophouse Fund (No. 1) SCS,2024,113153289,32449581,3995004,36441782,N/M,N/M
Pophouse Investment Platform SCA SICAV-RAIF ? Pophouse Co- Investment Fund II,2025,38390156,21354817,0,23479900,N/M,N/M
"Project Quail Opportunities, L.P.",2022,1000000000,686976706,16317541,905399143,17.1%,1.3x
"Prysm Capital Fund I, L.P.",2023,100000000,106677616,3572922,146644541,13.2%,1.4x
"Prysm Capital Fund II-C, L.P.",2024,200000000,184832792,1112189,333966353,N/M,N/M
PSG Encore L.P.,2022,100000000,98352580,22384891,108767284,5.3%,1.1x
PSG Europe II L.P.,2023,113740118,70758644,21612421,87249856,31.6%,1.2x
PSG V L.P.,2021,100000000,108480008,18194018,130152987,8.2%,1.2x
PSG VI L.P.,2025,250000000,64210233,6197469,66151011,N/M,N/M
"Q-Street Capital, L.P.",2021,900000000,375937654,0,456985615,7.7%,1.2x
RC CC Fund LP,2024,750000000,541639800,18562680,769577659,N/M,N/M
Red Admiral Fund LP,2023,1200000000,894914753,92133631,1470059910,43.0%,1.6x
"Redwood Lane Capital, L.P.",2022,700000000,671027569,0,943719127,16.6%,1.4x
Redwood Opportunities SCSp,2020,950000000,808833527,25137777,1293222594,16.5%,1.6x
River City Investments PCC,2024,150000000,41147000,0,37750670,N/M,N/M
"Riverstone Global Energy and Power Fund V, L.P.",2012,400000000,530971147,427512115,438928702,-4.2%,0.8x
"Riverstone Global Energy and Power Fund VI, L.P.",2016,500000000,650467885,597604620,665862390,0.6%,1.0x
Rubicon Partners SCSp,2023,1403353710,217164676,0,347834843,24.3%,1.6x
"Sacramento Private Equity Partners, L.P.",2006,537857143,527442144,1010307496,1042934787,11.5%,2.0x
SAIF Partners III L.P.,2007,100000000,126111682,166883729,251816586,7.0%,2.0x
"Samson Partners, L.P.",2020,238801883,172249834,62412667,256316736,8.7%,1.5x
"Set Builders II, LP",2024,70000000,50997322,0,92860668,N/M,N/M
"Shoreline, L.P.",2024,200000000,117046698,0,153342442,N/M,N/M
"Sierra Partners, L.P.",2020,150000000,81986760,21284053,72133341,-5.3%,0.9x
"SignalFire Early Fund IV, L.P.",2025,94044821,30564567,0,28449500,N/M,N/M
"SignalFire Eureka Fund, L.P.",2025,150000000,66511072,0,68920182,N/M,N/M
"SignalFire Sage Fund, L.P.",2023,100000000,90384585,0,118000167,21.2%,1.3x
"SignalFire Seed Fund V, L.P.",2024,94044821,29624118,0,29682104,N/M,N/M
"SignalFire XIR Venture Fund II, L.P.",2024,51818128,20727251,0,18509904,N/M,N/M
"Silver Lake Partners III, L.P.",2007,480000000,612701322,1189354243,1190759127,18.5%,1.9x
"Silver Lake Partners IV, L.P.",2013,320000000,380432197,704573581,1054014142,20.7%,2.8x
"Silver Lake Partners V, L.P.",2018,400000000,410122410,301524102,671004055,11.3%,1.6x
"Silver Lake Partners VI, L.P.",2021,712298543,894936433,253604767,1175962924,9.1%,1.3x
"Silver Lake Partners VII, L.P.",2024,370000000,126976922,163572,179870928,N/M,N/M
"Silver Lake Technology Investors IV, LP",2013,80000000,86918274,202945689,305407694,27.1%,3.5x
"Silver Lake Technology Investors V, L.P.",2018,100000000,94513693,84703129,183833619,14.3%,1.9x
"Siris Partners IV, L.P.",2019,100000000,115792558,39526012,145400251,6.1%,1.3x
"SL SPV-1, L.P.",2017,38675166,84029782,99011503,105052407,3.2%,1.3x
"SL SPV-2, L.P.",2019,28417191,50533364,137854626,199531390,29.4%,3.9x
"SPRINGBLUE A, L.P.",2021,50000000,40625000,0,29955501,-10.4%,0.7x
"Springblue A-V, L.P.",2024,60000000,26250000,0,26719914,N/M,N/M
"SPRINGBLUE B, L.P.",2021,50000000,45750000,0,54967601,5.4%,1.2x
"Springblue B-III, L.P.",2023,40000000,18700000,0,23707763,25.8%,1.3x
"Springblue Co-Investment SPV, LP",2023,120000000,51666050,0,88142422,56.9%,1.7x
"SR One Capital Fund II-A, LP",2023,90000000,74349730,19085572,84228107,7.9%,1.1x
"SR One Capital Fund III, LP",2025,78926910,3266090,0,2610727,N/M,N/M
"SR One Capital Opportunities Fund I, LP",2023,72351563,55703063,218987,63568292,8.7%,1.1x
"Stone Point Fund IX, L.P.",2022,500000000,445151402,66480243,601584726,16.2%,1.4x
"Stone Point Fund VI, L.P.",2014,250000000,271060455,649392920,752275803,21.9%,2.8x
"Stone Point Fund VII, L.P.",2017,377506729,412167136,411103378,846081151,18.4%,2.1x
"Strategic Partners (A), L.P.",2025,300000000,26017048,0,27164453,N/M,N/M
"Summit Partners Growth Equity Fund X-A, L.P.",2020,250000000,249957330,103656914,378751301,12.3%,1.5x
"Summit Partners Growth Equity Fund XI-A, L.P.",2022,400000000,228601530,1629711,256332008,6.7%,N/M
Sunrise Boulevard PE Partners L.P.,2021,500000000,373234336,1971721,555941742,13.3%,1.5x
"TA Select Opportunities Fund II-A, L.P.",2021,50000000,49237232,1112232,52689654,2.8%,1.1x
"TA XIV-A, L.P.",2021,150000000,147196623,28696623,179974528,7.4%,1.2x
"TA XV-A, L.P.",2025,300000000,72000000,0,65820356,N/M,N/M
"Tailwind Capital Partners II, LP",2014,150000000,166309208,240730310,241810535,9.3%,1.5x
"Tailwind Capital Partners III, L.P.",2018,200000000,229970415,120287683,394034735,17.2%,1.7x
"TCC Opportunities, L.P.",2021,1475000000,829803554,62238617,1266751455,23.0%,1.5x
"TCP II Co-Invest B, L.P.",2015,50000000,58367891,97013504,97202560,10.3%,1.7x
"TCV X, L.P.",2019,156592057,131366092,114386012,384762983,22.7%,2.9x
"TCV XI, L.P.",2021,261229279,257507701,18031534,291031839,3.9%,1.1x
"The Rise Fund (A), L.P.",2018,75000000,83933522,52559124,124082230,9.5%,1.5x
"The Rise Fund III, L.P.",2023,100000000,86955305,9554970,113390522,22.9%,1.3x
"The Veritas Capital Fund IX, L.P.",2024,400000000,9032886,9055,9055,N/M,N/M
"The Veritas Capital Fund VIII, L.P.",2022,625000000,528529756,168666,688906892,12.0%,1.3x
"Thoma Bravo Europe Fund, L.P.",2025,114329097,36774777,0,45497833,N/M,N/M
"Thoma Bravo Fund XIV, L.P.",2021,600000000,716165305,230547269,874635068,6.1%,1.2x
"Thoma Bravo Fund XV, L.P.",2022,348293279,530756923,264570699,679496895,11.2%,1.3x
"Thoma Bravo Fund XVI, L.P.",2025,350000000,32948047,0,32135028,N/M,N/M
"Three Pillars Flex Opportunities Fund, LP",2023,1000000000,221515213,12422259,413966427,97.2%,1.9x
"Three Pillars Secondaries Fund, LP",2024,2000000000,804492627,92391651,1110367528,N/M,N/M
"Thrive Capital Partners IX Growth, L.P.",2024,365742209,225017404,0,383929795,N/M,N/M
"Thrive Capital Partners IX, L.P.",2025,104497791,47982672,0,85353832,N/M,N/M
"Thrive Capital Partners Opportunity Fund, L.P.",2024,179000000,137249181,0,243711526,N/M,N/M
"Thrive Capital Partners VIII Growth, L.P.",2023,300000000,298030091,47917176,655147766,55.7%,2.2x
"Tiger Global Private Investment Partners XV, L.P.",2022,300000000,292500000,0,242529273,-5.2%,0.8x
"Timber Coast Private Opportunities, L.P.",2023,300000000,70300678,0,89020562,11.3%,1.3x
"Top Castle Sidecar VII, L.P.",2020,500000000,148214448,55175958,252835483,21.9%,1.7x
"TowerBrook Investors IV (Onshore), L.P.",2013,380000000,318301873,555755593,656872150,16.8%,2.1x
Towerbrook Investors V (Onshore) LP,2019,400000000,439933913,114433296,719027978,14.7%,1.6x
"Towerbrook Investors VI (Onshore), L.P.",2024,100000000,52648252,90072,63717708,N/M,N/M
"Towerbrook Structured Opportunities Fund (Onshore), L.P.",2016,221786667,309639119,256298463,385257903,6.5%,1.2x
Towerbrook Structured Opportunities Fund II (Onshore) LP,2019,250000000,244182316,167104103,345234177,13.7%,1.4x
"TPG Asia V, L.P.",2007,360000000,350599460,488924451,502212921,6.3%,1.4x
"TPG Asia VIII (A), L.P.",2024,250000000,109999695,9412192,137417485,N/M,N/M
"TPG Biotechnology Partners III, L.P.",2008,100000000,100076482,212285844,217344669,11.0%,2.2x
"TPG Golden Bear Partners, L.P.",2019,500000000,489702653,232429854,851530159,14.0%,1.7x
"TPG GP Solutions (A), L.P.",2024,100000000,51844570,9006879,70746680,N/M,N/M
"TPG Growth IV, L.P.",2018,75000000,85009299,84908887,142465310,13.6%,1.7x
"TPG Growth V, L.P.",2021,200000000,206111408,82296273,291130305,11.7%,1.4x
"TPG Growth VI, L.P.",2024,200000000,73105219,1697406,83501298,N/M,N/M
"TPG Healthcare Partners, L.P.",2019,100000000,99531465,27862432,137715784,11.0%,1.4x
"TPG Life Sciences Innovations, L.P.",2024,75000000,37358165,3887995,29123223,N/M,N/M
"TPG NEXT (A), L.P.",2025,500000000,30220513,2255097,17115046,N/M,N/M
"TPG Partners IV, L.P.",2003,200000000,225811661,428892245,429341115,15.3%,N/M
"TPG PARTNERS IX, L.P.",2023,300000000,254797478,29470173,325945577,22.9%,1.3x
"TPG Partners V, L.P.",2006,600000000,811329685,1007256750,1007256750,3.7%,1.2x
"TPG Partners VIII, L.P.",2019,150000000,389603837,354339436,529269308,18.1%,1.4x
"TPG STAR, L.P.",2007,150000000,171879025,219699233,219842878,6.2%,1.3x
"TPG Tech Adjacencies II, L.P.",2023,200000000,159619773,32608569,212937108,17.1%,1.3x
"Triangle Investment Opportunities II, L.P.",2024,1000000000,407573353,0,772198629,N/M,N/M
"Triangle Investment Opportunities, L.P.",2023,1000000000,971756603,71440726,2889527494,65.3%,3.0x
"Trident VIII, L.P.",2020,325954336,405953635,265000517,631216413,11.4%,1.6x
Triton Fund 6 SCSp,2025,176082432,19707057,13643256,34895945,N/M,N/M
Triton Fund IV L.P.,2013,90797923,109017487,138131266,187788857,11.7%,1.7x
"Triton Fund V, LP",2019,282569357,273484225,178863472,488513993,17.7%,1.8x
Valor Atreides AI I L.P.,2025,100000000,20000000,0,31773424,N/M,N/M
Valor Equity Partners IV L.P.,2017,75000000,74484349,16149150,358192278,25.9%,4.8x
Valor Equity Partners VI L.P.,2023,300000000,256380302,64595,563909452,56.1%,2.2x
Verdane Edda III (D1) AB,2024,114494392,40058287,15556657,51728117,N/M,N/M
Verdane Idun II (D1) AB,2025,58724620,1993927,0,1155167,N/M,N/M
"Vicente Capital Partners Growth Equity Fund, L.P.",2007,40422297,40801085,56560761,56947617,5.7%,1.4x
VIP IV LP,2020,304354535,286347864,25359530,417066986,12.0%,1.5x
VIP V S.C.Sp.,2023,347147372,123050887,1890592,146257765,19.2%,1.2x
"Vista Equity Partners Fund VII-Z, L.P.",2019,400000000,412179662,52279871,499989074,4.4%,1.2x
"WCAS XIII, L.P.",2019,400000000,405241237,268542366,692007647,15.5%,1.7x
"WCAS XIV, L.P.",2022,400000000,219322859,8447985,248669722,7.5%,1.1x
"Welsh, Carson, Anderson & Stowe XI, L.P.",2009,125000000,125000000,207848251,207848251,11.5%,1.7x
"Welsh, Carson, Anderson & Stowe XII, L.P.",2015,350000000,350162050,723731408,891904466,25.1%,2.5x
Whitney Global Partners II L.P.,2024,572687798,374097869,0,438052037,N/M,N/M
Whitney Global Partners L.P.,2021,809720597,757661907,34240305,879858561,5.2%,1.2x
Wigeavenmore Co-Investment LP,2024,296216315,191698040,0,260064258,N/M,N/M
Wigmore Street (BDC III) LP,2017,32832874,30733886,87427509,104990566,34.4%,3.4x
Wigmore Street BDC IV Co-Investment No.1 LP,2021,50294305,50294305,0,58663923,6.6%,1.2x
Wigmore Street Co-investment No. 1 LP,2016,99874055,96429806,159363280,199851926,20.7%,2.1x
Wigmore Street VI Co-Investment No. 1 LP,2019,99099822,97548164,99051891,202466591,16.7%,2.1x
"Windy Oaks Opportunities, L.P.",2025,100000000,3000000,0,2935187,N/M,N/M
"Yucaipa American Alliance Fund II, L.P.",2008,349449452,560662831,650649632,960023063,7.5%,1.7x
"Yucaipa Corporate Initiatives Fund II, L.P.",2008,93539524,91400621,81687571,82779629,-1.3%,0.9x
